Time - Voltage	Amplitude - Voltage
0.530273	3.63859
0.530762	2.53001
0.53125	0.543788
0.531738	-1.64201
0.532227	-3.27706
0.532715	-3.79091
0.533203	-3.00734
0.533691	-1.20159
0.53418	1.00535
0.534668	2.85979
0.535156	3.71752
0.535645	3.28084
0.536133	1.70665
0.536621	-0.463966
0.537109	-2.48949
0.537598	-3.66904
0.538086	-3.59141
0.538574	-2.28882
0.539062	-0.211103
0.539551	1.93047
0.540039	3.3978
0.540527	3.68153
0.541016	2.68604
0.541504	0.75887
0.541992	-1.442
0.54248	-3.15896
0.542969	-3.7981
0.543457	-3.13684
0.543945	-1.40767
0.544434	0.7937
0.544922	2.71445
0.54541	3.68911
0.545898	3.3796
0.546387	1.89795
0.546875	-0.245644
0.547363	-2.31896
0.547852	-3.60556
0.54834	-3.65681
0.548828	-2.45913
0.549316	-0.428794
0.549805	1.73993
0.550293	3.30143
0.550781	3.71264
0.55127	2.83325
0.551758	0.971055
0.552246	-1.2361
0.552734	-3.03256
0.553223	-3.79376
0.553711	-3.25528
0.554199	-1.60906
0.554687	0.57892
0.555176	2.56071
0.555664	3.64857
0.556152	3.46668
0.556641	2.08245
0.557129	-0.0274388
0.557617	-2.14142
0.558105	-3.53046
0.558594	-3.71079
0.559082	-2.6222
0.55957	-0.645205
0.560059	1.5435
0.560547	3.1937
0.561035	3.73036
0.561523	2.97076
0.562012	1.1805
0.5625	-1.02692
0.562988	-2.89512
0.563477	-3.77593
0.563965	-3.36318
0.564453	-1.80466
0.564941	0.362211
0.56543	2.39662
0.565918	3.59557
0.566406	3.54241
0.566895	2.25959
0.567383	0.191672
0.567871	-1.95557
0.568359	-3.44341
0.568848	-3.75161
0.569336	-2.77693
0.569824	-0.860237
0.570312	1.34228
0.570801	3.07514
0.571289	3.73554
0.571777	3.09823
0.572266	1.38488
0.572754	-0.814458
0.573242	-2.74748
0.57373	-3.74574
0.574219	-3.45985
0.574707	-1.99504
0.575195	0.14398
0.575684	2.22428
0.576172	3.52912
0.57666	3.60561
0.577148	2.42905
0.577637	0.409021
0.578125	-1.76484
0.578613	-3.34427
0.579102	-3.78008
0.57959	-2.92211
0.580078	-1.07216
0.580566	1.1359
0.581055	2.94597
0.581543	3.72841
0.582031	3.21445
0.58252	1.5853
0.583008	-0.598985
0.583496	-2.59135
0.583984	-3.7024
0.584473	-3.54481
0.584961	-2.17777
0.585449	-0.0747263
0.585937	2.0455
0.586426	3.45249
0.586914	3.6568
0.587402	2.59016
0.587891	0.62455
0.588379	-1.56797
0.588867	-3.23502
0.589355	-3.79592
0.589844	-3.0583
0.590332	-1.28068
0.59082	0.926219
0.591309	2.80646
0.591797	3.70818
0.592285	3.31977
0.592773	1.78035
0.593262	-0.382161
0.59375	-2.42615
0.594238	-3.64679
0.594727	-3.61804
0.595215	-2.35397
0.595703	-0.293096
0.596191	1.85983
0.59668	3.36293
0.597168	3.69507
0.597656	2.74316
0.598145	0.839549
0.598633	-1.3645
0.599121	-3.11319
0.599609	-3.79832
0.600098	-3.18284
0.600586	-1.48402
0.601074	0.713679
0.601562	2.65713
0.602051	3.67554
0.602539	3.41406
0.603027	1.96814
0.603516	-0.16345
0.604004	-2.25332
